disasterNumber,totalNumberIaApproved,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountPa,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,paLoadDate,iaLoadDate,totalObligatedAmountHmgp,hash,lastRefresh,id
3601,,,,,,,,,,,3de68baba960e69da445cf822d3dd859081fb34a,2023-10-09T23:02:26.341Z,faafecca-0f76-4fb8-8ffd-b6f46f3b712c
3602,,,,,,,,,,,58566c446fce5cabbd0c3412a6bb3daa4ada1993,2023-10-09T23:02:26.341Z,b74f0dc2-fab5-42b9-acf7-c94df14d85ad
1267,,,,,,,,,,2167204,1ba476aa5b95b344e79f9ed5c0b1442849ccb5e0,2023-03-18T13:22:12.883Z,0f5ed8dd-d8e5-4328-9155-372206b47182
1270,,,,,,,,,,319783,bb3c5cb8faf9c3e5606bd3f86ff09da517907068,2023-03-18T13:22:12.883Z,df214994-59d2-4075-b52c-894f7f4b358e
1290,,,,,,,,,,200782,fbe5b8caa213cd388e1d7773b121c3c74559a5fb,2023-03-18T13:22:12.883Z,ffca81a5-0830-4f1c-b088-0ff4d5bb8e8a
1291,,,,,,,,,,381636,8f0f0908874eb215f6e3d73799c8e8d2d29da7b3,2023-03-18T13:22:12.883Z,38aea223-c601-4817-a74e-de666d29392a
1241,,,,,,,,,,302741,185f4706b8bee0537badc0126c55da717775e812,2023-10-09T02:24:46.659Z,f91f1449-8cd3-4923-9a60-4f8a8ad78ae7
5470,,,,,,,,,,0,632c31ecf93420da7e44985de106552e90994371,2023-07-25T23:02:30.960Z,7c3f1b5f-90fc-45ae-b2a0-c10969b52fe1
5471,,,,,,,,,,0,84b7241d62b7bf982f1fae0f56d0e4b3b20712bb,2023-07-25T23:02:30.960Z,7c917300-8f0a-4d84-b574-d27e98859baa
1298,,,,,,,,,,195648,becd78b29db0e564a86dcc166b1b06bfed63acc0,2023-03-18T13:22:12.883Z,59620891-042b-4587-9129-74bd8a151fd1
1304,,,,,,,,,,10446,eca700838aea4566bc4c5c046cb6fa2aa4f9c5be,2023-03-18T13:22:12.883Z,d0f1709b-70b0-4742-a8db-087a0cf406cb
1256,,,,,,,,,,645473,e555ac9f6c81428eda01613f113e9f2a78bac3a3,2023-10-09T02:24:46.659Z,8ae2b8e4-8f33-4be1-827d-8acbfb37cfb6
1321,,,,,,,,,,316618,df6801c6e5b9f881d3a53c2d3a22c4230810b14b,2023-03-18T13:22:12.883Z,0d2fd1ca-29c0-4051-8cfe-f94c5d84e50c
1322,,,,,,,,,,305250,00e53ba279f255d17c73e0672b69cc56f0d98c44,2023-03-18T13:22:12.883Z,eebe0137-979a-4510-a840-219d1a52a00c
1339,,,,,,,,,,896815,2fddd87cac23642be8ba270d84e2bb13c90b58dc,2023-03-18T13:22:12.883Z,9e76bea2-e716-4941-847b-f9bc5f271dbb
1340,,,,,,,,,,311009,298b989ad5d263b01b7d7a983c17a1e3304968f4,2023-03-18T13:22:12.883Z,f125dfb7-2a30-495e-949a-98e7613c4cdd
1341,,,,,,,,,,13056,57f82ef8c8a353f683c9cb30970e35127cb83b8a,2023-03-18T13:22:12.883Z,5169019b-820f-49ff-bd8e-b39f1a40a7d2
1342,,,,,,,,,,1000930,9ad21c6b71c474d559e410575a974b2882e1c26d,2023-03-18T13:22:12.883Z,15c8b080-f629-446d-9924-ba75f45ab04d
5467,,,,,,,,,,0,5ba5da0cfe4cd03942004c04f294bf7492e94587,2023-07-06T23:02:58.335Z,36af7f94-d842-4c4c-bac5-7ab68c57b21b
1346,,,,,,,,,,25581719,de80b569ba429dbe71a53c81c5a075ad13e80223,2023-03-18T13:22:12.883Z,4e321bd0-347b-48ba-970e-9e598d5f9945
5468,,,,,,,,,,0,71c10390f28cbe1cf2bf8fde8c26c5b9c0bb246e,2023-07-06T23:02:58.335Z,076fb178-011d-4c46-997f-6139f3dc96db
1359,,,,,,,,,,273677,5845eedae8cd1037244b821ebfd414e10528e720,2023-03-18T13:22:12.883Z,d4887a6f-6413-42ac-97e5-59435e2fc568
1364,,,,,,,,,,1615134,5780ba3222eee3103dfb3a46ccce8c6b1947ec9b,2023-03-18T13:22:12.883Z,3bc5ff17-62df-4f28-8240-a7912e828f19
1415,,,,,,,,,,573827,0b0d3df2f87cfa2a116bf4f04e9a8dedbed50ffa,2023-03-18T13:22:12.883Z,43fb3b5a-40fd-4b1b-9e38-ed75fd0f5a0b
1421,,,,,,,,,,55096,92e4fee1ffecf19d0b8a08765a185c91d8cf852b,2023-03-18T13:22:12.883Z,c33512d3-1d37-47a0-a51c-bd80b90edcd2
1439,19827,57974742.1,31700420.63,26274321.47,,,,,2023-11-05T00:00:00.000Z,7154189,d1f0aef70b0f0f6c24d44d93b41e6180f7a113b6,2023-11-05T05:43:20.357Z,7cb43738-00d8-47bf-9317-976dc2b893f1
1444,127,579893.02,297240.48,282652.54,,,,,2023-11-05T00:00:00.000Z,140456,73c0dff381844b62daf71ef8072276db1667c477,2023-11-05T05:43:20.357Z,a91d6483-1c70-477f-994d-380d81466731
1434,,,,,,,,,,1396381,17c32ac18e73f04fd5d2c251b5f29000d1074d2e,2023-03-18T13:22:12.883Z,83e467e6-8d16-4f37-b98a-41048d93ad60
4736,,,,,,,,,,0,b37daaa1077f90e23f52e82a83e4056aa23ccb56,2023-09-05T23:02:23.782Z,ed535e22-03eb-456e-ac2a-7f8d8192d798
1460,6659,14538920.62,3835447.42,10703473.2,,,,,2023-11-05T00:00:00.000Z,423565,6740227c533faa71d1bcfe835909935e00b23e0b,2023-11-05T05:43:20.357Z,2550483a-de70-4f75-8802-98d82d5e1bc5
1469,449,1644357.98,787056.7,857301.28,,,,,2023-11-05T00:00:00.000Z,92411,b27b7493c7bc3258ff792c9386e5c55c32dee997,2023-11-05T05:43:20.357Z,a51224a0-f304-4251-9901-301f4cb94f05
1470,124,740552.45,390852.02,349700.43,,,,,2023-11-05T00:00:00.000Z,0,624901b014e5688b5bd679a9ffe0ed47d5c96dbc,2023-11-05T05:43:20.357Z,8f149054-a3e1-4bc5-a191-82aaa2e0e15e
1478,758,1980992.81,1468511.02,512481.79,,,,,2023-11-05T00:00:00.000Z,32689,8705049548fe19703fe5931ceede0e48900f1fbd,2023-11-05T05:43:20.357Z,68ee5e59-1446-4de2-9e2f-51034bc8585f
1487,2972,8231038.84,6576154.9,1654883.94,,,,,2023-11-05T00:00:00.000Z,697502,925d4c7742ba84980264b778ff3a9a5c57dcd9dc,2023-11-05T05:43:20.357Z,23ec154f-ed13-4681-a84f-76d230cb52e9
1497,267,1009837,635579.11,374257.89,,,,,2023-11-05T00:00:00.000Z,0,935eb8b34a933af7a111ec767ab8e78bbf0d9ad8,2023-11-05T05:43:20.357Z,8d2d734c-9e4d-4243-8bba-fc1422c86c99
5418,,,,,,,,,,55125.47,7c54736788deace8021a7a1c7d207f24b7caa0a1,2023-10-23T18:02:30.880Z,298da297-2651-4825-a85c-c02a822611be
1502,487,1220484.27,970511.05,249973.22,,,,,2023-11-05T00:00:00.000Z,54661,7aefa80253a00397af640c0d848cfd5683f1152a,2023-11-05T05:43:20.357Z,24a16302-f5ba-4fca-bfc5-2dd5dd757214
1512,1584,2728345.06,2479114.65,249230.41,,,,,2023-11-05T00:00:00.000Z,8570,6fab99947448f9ffb181c0ada4e6a9149ee18445,2023-11-05T05:43:20.357Z,78adaef4-2b96-4f2f-8020-ae9c0bab765a
1521,4176,5900558.36,3293656.58,2606901.78,,,,,2023-11-05T00:00:00.000Z,0,84db5c28daf5c1874fa946b330c7bf81ff86d90a,2023-11-05T05:43:20.357Z,628b860e-30b7-430e-81ca-14de86ad6504
1524,573,1396915.31,1044648.29,352267.02,,,,,2023-11-05T00:00:00.000Z,16044,08ccfdad6147e40a61f71f6951ee73a8b1cbc146,2023-11-05T05:43:20.357Z,3cb70c57-cab5-423e-859f-8ed7a3159398
1525,694,1558980.89,1279215.12,279765.77,,,,,2023-11-05T00:00:00.000Z,7249,86dfadb170bf8b65d073a36b71fdde1e6ec7df6d,2023-11-05T05:43:20.357Z,9b149b62-d5f8-4a83-ad59-c647475025e4
1527,35693,41314005.89,26912181.7,14401824.19,,,,,2023-11-05T00:00:00.000Z,1153207,c5ba4564de7bc9b4d8ec9cc4a8a1aba2983ec7bc,2023-11-05T05:43:20.357Z,e5715d27-d6a7-479a-86f8-5c22e2660d7f
1536,507,1465037.44,1360295.78,104741.66,,,,,2023-11-05T00:00:00.000Z,155450,a8e1f9c2f3d76dd47e9e5dbf1c076e64465bc509,2023-11-05T05:43:20.357Z,b021de48-02bf-4f7c-b230-d05d5f5a9f5b
1538,6001,9961967.69,7947412.69,2014555,,,,,2023-11-05T00:00:00.000Z,741434,e27f485c613b7feabfe1a1b855909fd8c339bbe4,2023-11-05T05:43:20.357Z,49b5bd56-f334-4b13-9075-a718e7e2954c
5449,,,,,,,,,,45000,d9e5c4a8e4c47941cf1aab5ffce62253ecf8e725,2023-10-11T05:03:32.427Z,c0200588-2710-4b63-81db-c81376fffe48
4737,,,,,,,,,,0,ae66a3148cef555339c8ac9493ece2b95c52b330,2023-09-08T18:59:42.838Z,2eaa113f-665a-4a61-8340-625d0f394081
5384,,,,,,,,,,693241.23,2ea8d2742851adca302b33da72635830724a6ad0,2023-04-17T19:04:01.866Z,eba71867-b7f8-4960-b4c8-2ab9d2dd43b8
1555,953,3439214.02,2499993.13,939220.89,,,,,2023-11-05T00:00:00.000Z,154339,5ab6e811aaa8e48996c354d604b074ac669100ba,2023-11-05T05:43:20.357Z,1caddcf4-624e-4582-a28b-e3c0db3be505
1566,4399,7240598.76,5778026.85,1462571.91,,,,,2023-11-05T00:00:00.000Z,213494,25382311e6289df30077ed6654fa6ff7dde65e45,2023-11-05T05:43:20.357Z,df5df048-54ca-420a-8988-46ca340751c3
1570,661,2275380.47,1479351.47,796029,,,,,2023-11-05T00:00:00.000Z,165776,647da4adf1330a1e05f487cd2c38af91a71efe8f,2023-11-05T05:43:20.357Z,b5be046a-caa8-4043-aa5d-a885baedb36d
1588,1011,2514186.68,1782783.76,731402.92,,,,,2023-11-05T00:00:00.000Z,125025,a3269ad9c8940754c775d66846f6d893726dd5bd,2023-11-05T05:43:20.357Z,5e594961-8a80-42bb-b572-44eda8084f72
1599,77,474304.46,284815.63,189488.83,,,,,2023-11-05T00:00:00.000Z,17773,c7708be642c3a9f1c5e34d53b257be00744ebd8d,2023-11-05T05:43:20.357Z,c3904c7d-156d-4c9a-9ba6-7ce4d96faae5
1617,109,459715.15,229744.12,229971.03,,,,,2023-11-05T00:00:00.000Z,46967,1a0631e20195091670c65d59955cad1c8c788226,2023-11-05T05:43:20.357Z,bb2452a3-c88c-40a8-ae9e-733e1ae4e56c
1637,53,215839.32,170580.92,45258.4,,,,,2023-11-05T00:00:00.000Z,127894,58bc197aebf528fe6c19fe4d1d6b822efbcc5f33,2023-11-05T05:43:20.357Z,f9063d6a-5214-4734-a94c-55197b03b1eb
5462,,,,,,,,,,0,a348df1c783858e35716f6a90635f6b74e2a9d67,2023-04-17T23:02:47.828Z,fa27ee3d-d5f9-47c3-9995-6f1923a2745d
5463,,,,,,,,,,0,9d3ff798d2e5b37affedc7e45132d7c1bd984aa2,2023-04-17T23:02:47.828Z,d34ce3a0-6b11-4ad1-b372-9d1feb6b3c37
1651,5790,8830355.16,7477482.29,1352872.87,,,,,2023-11-05T00:00:00.000Z,1685290,ba877b031579736009d65f918a6c16ba44b59fd0,2023-11-05T05:43:20.357Z,bb5f6455-750a-4381-b579-c8fae8b348df
1662,4211,12105107.36,11102170.39,1002936.97,,,,,2023-11-05T00:00:00.000Z,939730,bfe04b1b53ceb761e326bf9d8b2b2f34a21b1f62,2023-11-05T05:43:20.357Z,1788e8cb-d524-4a60-85f0-a917fcd1b927
5324,,,,,,,,,,1605679.6,ffdb89168960be79388a075cd00f092579ef9010,2023-05-03T20:04:46.928Z,3d85dc59-3153-47c4-9717-e0daa6e76ca9
1680,132,943028.88,798183.02,144845.86,,,,,2023-11-05T00:00:00.000Z,238501,3c79613dc739e2c030704fcef5745d6cf6132b14,2023-11-05T05:43:20.357Z,c9e22c60-49a8-4b19-82a0-81ade3377708
1685,268,862378,699848.72,162529.28,,,,,2023-11-05T00:00:00.000Z,0,19f57386cadc077b20efd3335da13dfe1e5aa7c1,2023-11-05T05:43:20.357Z,f0ad7fc9-aaf7-4c33-8d6c-403b4381a7da
1690,201,916208.97,706944.53,209264.44,,,,,2023-11-05T00:00:00.000Z,0,03d7c71d320d678f7dc700db126046623367d696,2023-11-05T05:43:20.357Z,cd335cac-9dc1-4606-813f-e01c3f2831f0
1689,,,,,,,,,,1141292,5d5603ed40afbcd3324cc901c1dd0deda5c7e637,2023-03-18T13:22:12.883Z,ab857d0c-36ab-4d6b-b6bd-85bd4421b4f7
4739,,,,,,,,,,0,34580e697e2efae1fe59e26090cc3303e15202dd,2023-09-11T23:02:45.052Z,7a692f8f-c5de-4f69-bacc-020d5e54a512
1697,643,4865458.46,4068758.21,796700.25,,,,,2023-11-05T00:00:00.000Z,1638715,d12730e069f8bae11c34c9953071040a31da4ed9,2023-11-05T05:43:20.357Z,5e2737ee-4ff8-42cb-b409-33b95b3ea23a
1722,557,1658875.8,1436946.52,221929.28,,,,,2023-11-05T00:00:00.000Z,159288,7f9571bd116cfe4f0a9096ad755982d0eeee08e9,2023-11-05T05:43:20.357Z,b1faaacc-0651-4dd2-a9a7-62169cab9ee3
1724,2000,5101498.73,4314722.41,786776.32,,,,,2023-11-05T00:00:00.000Z,243792,5bad12127c81a4d1d80fa9e04b7cdb1cb178549b,2023-11-05T05:43:20.357Z,a76fbca5-91c2-4946-8353-b2a2ccb0a34d
1730,767,4461751.16,3627169.48,834581.68,,,,,2023-11-05T00:00:00.000Z,454660,8fbcdad7e21b6a963d72fb619c0e7cc47b015062,2023-11-05T05:43:20.357Z,3ffac6cd-1ecc-4a3c-9ece-9daf08b2eaeb
5474,,,,,,,,,,0,21f98c5285f37decb92d9dd8016fe8af3d096d5d,2023-08-10T23:03:40.004Z,4a60dbea-1b8a-415f-8d1f-6ed585c3977c
5475,,,,,,,,,,0,b8897f73c5d2c5ce6a01efc401ea3f9f5246c629,2023-08-10T23:03:40.004Z,25f5e18a-41fa-45c6-993e-dc7ea972e19e
5476,,,,,,,,,,0,e3139070f142ebdb73df438bdab28b46d83b305a,2023-08-10T23:03:40.004Z,d741eeed-a9d4-4547-b84c-eae006241d22
1732,2999,4922508.64,4122801.46,799707.18,,,,,2023-11-05T00:00:00.000Z,802654,7e24eb9f126387dfc3aa07ef03a55ddb47c2c73f,2023-11-05T05:43:20.357Z,6e6634cd-8f36-40ae-a30c-57611e612260
5477,,,,,,,,,,0,bbb2dd79cc4e04f2dfeb5471bb6fcd9531257e63,2023-08-10T23:03:40.004Z,e78d9f29-2c96-4695-a14a-34432f95da0e
5478,,,,,,,,,,0,5086b31fd1861d83994eacbd241e33cf56245c23,2023-08-10T23:03:40.004Z,2543a8a4-7c10-40d3-be40-be8bd37db90d
5281,,,,,,,,,,525662.15,61f1df83513d091f0c3e1dde075be0934679df8c,2023-10-12T18:02:36.938Z,a40bff73-281e-4843-bb09-ad1d00887b71
1747,917,4800659.42,3951572.59,849086.83,,,,,2023-11-05T00:00:00.000Z,493658,71b581a2ce773500ff2559ee5991eec71ac4b953,2023-11-05T05:43:20.357Z,10a2fb3e-5706-4e6c-b581-c51d9082e611
1753,250,1598081.52,1371741.06,226340.46,,,,,2023-11-05T00:00:00.000Z,116373,b0e3f6784f564f855fc316ab5ff58b405136300b,2023-11-05T05:43:20.357Z,dc00db49-bf19-4726-adaa-df1c8b1e9230
